Name,Early Life,Major Contributions,Role in Freedom Movement,Legacy,Key Events,Quotes,Honors and Awards
"Mahatma Gandhi","Born on October 2, 1869, in Porbandar, Gujarat. Gandhi was raised in a religious family and later studied law in London.","Leader of the Indian independence movement. Advocated for non-violence (Ahimsa) and Satyagraha (nonviolent resistance).","Led nationwide movements like the Salt March, Quit India Movement, and Civil Disobedience.","Known as the 'Father of the Nation,' Gandhi's philosophy influenced civil rights movements worldwide.","Salt March (1930), Quit India Movement (1942)","'Be the change that you wish to see in the world.'","Honored as the 'Father of the Nation,' posthumous honors include statues and memorials worldwide."
"Jawaharlal Nehru","Born on November 14, 1889, in Allahabad. He was educated at Harrow, Eton, and later at Trinity College, Cambridge.","First Prime Minister of independent India. Played a key role in shaping the country's democratic framework.","Close associate of Gandhi, instrumental in the Indian National Congress (INC), led the Salt Satyagraha and Quit India Movement.","Architect of modern India’s democracy and economy.","First Prime Minister of India (1947-1964), founding member of the Non-Aligned Movement.","'The only alternative to coexistence is codestruction.'","India's first Prime Minister, Nehru Planetarium, numerous institutions named after him."
"Subhas Chandra Bose","Born on January 23, 1897, in Cuttack, Odisha. He was a brilliant student and excelled at Cambridge University.","Founded the Indian National Army (INA) to fight against British colonial rule. Advocated for armed struggle.","President of the Indian National Congress and a key figure in WWII-era resistance.","His slogan 'Give me blood, and I will give you freedom' remains iconic. Bose’s mystery disappearance is still debated.","Formation of the Indian National Army, Azad Hind Radio broadcasts.","'Give me blood, and I will give you freedom.'","Posthumously honored, statues across India, his legacy is debated in both India and abroad."
"Sardar Vallabhbhai Patel","Born on October 31, 1875, in Nadiad, Gujarat. He was a lawyer and initially took part in several social reform movements.","Played a crucial role in the integration of princely states into the Indian Union. First Deputy Prime Minister and Home Minister of India.","Led the Satyagraha in Bardoli and was a prominent leader in the Quit India Movement.","Known as the 'Iron Man of India' for his leadership in unifying the country.","Integration of States (1947-49), Steel Frame of India.","'Unity is strength.'","Statue of Unity, India's highest civilian honor, numerous institutions named after him."
"Bhagat Singh","Born on September 28, 1907, in Banga, Punjab (now in Pakistan). His family was deeply involved in the struggle for independence.","Revolutionary leader advocating for armed resistance against British rule. Instrumental in the killing of John Saunders to avenge Lala Lajpat Rai’s death.","Martyr for the cause of Indian independence. His execution on March 23, 1931, galvanized the youth.","Symbol of youth rebellion and patriotism in India.","Jalianwala Bagh Massacre protests, execution in Lahore Central Jail.","'Inquilab Zindabad' (Long live the revolution).","Statues in his honor, memorials in India and abroad, schools named after him."
"Rani Lakshmi Bai","Born on November 19, 1828, in Varanasi, Uttar Pradesh. She was married to Maharaja Gangadhar Rao and became the queen of Jhansi.","Led her army against the British during the 1857 Revolt.","Symbolized resistance against British oppression during the First War of Indian Independence (1857).","A symbol of courage and resilience in India’s struggle for independence.","Battle of Jhansi (1857), died in combat.","'Main apne desh ke liye jaan de dungi.' (I will give my life for my country).","Statues, schools, and roads named after her across India."
"Bal Gangadhar Tilak","Born on July 23, 1856, in Ratnagiri, Maharashtra. He was a scholar, lawyer, and social reformer.","A prominent freedom fighter and social reformer. Known for his slogan 'Swaraj is my birthright.'","Advocated for the idea of 'self-rule' and led the Home Rule Movement.","Influenced generations of leaders, including Gandhi, and was one of the first to demand full independence.","Home Rule Movement (1916), arrested in 1908 for sedition.","'Swaraj is my birthright, and I shall have it.'","Several institutions and universities named after him."
"Lala Lajpat Rai","Born on January 28, 1865, in Dhudike, Punjab. A lawyer and social reformer.","Leader of the reformist movement in Punjab. Led protests against the Simon Commission in 1928.","Famously injured during the baton charge by the police. His death was a catalyst for the rise of revolutionary activities in India.","A symbol of bravery in the face of colonial repression.","Protests against the Simon Commission, death in 1928.","'The sword of revolution is sharpened on the whetting stone of ideas.'","Honored posthumously with memorials and statues in India."
"Chandra Sekhar Azad","Born on July 23, 1906, in Bhavra, Madhya Pradesh. He was involved in revolutionary activities from a young age.","A revolutionary leader and a key figure in the Hindustan Socialist Republican Association (HSRA).","Known for his role in several major attacks against the British, including the Kakori Train Robbery.","A symbol of youthful rebellion, he vowed never to be captured alive by the British, committing suicide when surrounded.","Kakori Train Robbery (1925), death in 1931.","'Dushman ki goliyon ka hum samna karenge, Azad hi rahe hain, Azad hi rahenge.' (We will face the bullets of the enemy, we will remain free forever).","Statues in his honor, schools named after him."
"Dr. B.R. Ambedkar","Born on April 14, 1891, in Mhow, Madhya Pradesh. Came from a low-caste family and faced discrimination.","Architect of the Indian Constitution and leader of the Dalit community.","Fought against untouchability and worked for the rights of the lower castes.","Regarded as one of the foremost intellectuals and social reformers in India.","Drafted the Indian Constitution, founded the Dalit Buddhist movement.","'Educate, Agitate, Organize.'","Bharat Ratna (posthumously), Ambedkar Memorials, Dr. Ambedkar Institute of Technology."
"Rajguru","Born on August 24, 1908, in Khed, Maharashtra. He was a nationalist and revolutionary leader.","Revolutionary associated with Bhagat Singh and Sukhdev.","Participated in the assassination of J.P. Saunders.","Martyr for the cause of India's independence.","Execution with Bhagat Singh and Sukhdev in 1931.","'Inquilab Zindabad' (Long live the revolution).","Statues and memorials in India."
"Sukhdev Thapar","Born on May 15, 1907, in Ludhiana, Punjab. A dedicated revolutionary.","Revolutionary leader associated with Bhagat Singh and Rajguru.","Co-accused in the killing of John Saunders.","Like Bhagat Singh, he was executed at a young age, leaving behind a legacy of bravery.","Execution with Bhagat Singh and Rajguru in 1931.","'Inquilab Zindabad' (Long live the revolution).","Statues and memorials in India."
"Mangal Pandey","Born on July 19, 1827, in Nagwa, Uttar Pradesh. A sepoy in the British East India Company.","A sepoy in the British East India Company, Pandey played a crucial role in the 1857 revolt.","His attack on British officers sparked the uprising.","Considered one of the first martyrs of India’s freedom struggle.","The first shot of the revolt in Barrackpore, his execution in 1857.","'The time has come to act.'","Statues and memorials in India."
"Kasturba Gandhi","Born on April 11, 1869, in Porbandar, Gujarat. Wife of Mahatma Gandhi, she was an activist.","Participated in several movements alongside Gandhi, particularly in the Salt March.","Her support for Gandhi's movement was integral to his success.","Symbol of resilience and dedication to the Indian independence movement.","Salt March, her death in 1944.","'I have always lived for others.'","Statues and memorials in her honor."
"Sarojini Naidu","Born on February 13, 1879, in Hyderabad, India. A renowned poet and social activist.","Known as the 'Nightingale of India' for her poetic contributions.","First woman to become the president of the Indian National Congress.","One of the foremost women leaders in India’s struggle for independence.","Presidency of INC in 1925, Poetic contributions.","'A country's greatness lies in its undying ideals of love and sacrifice.'","India's first woman governor, memorials in her honor."
"Aurobindo Ghosh","Born on August 15, 1872, in Kolkata, West Bengal. A philosopher and nationalist.","Led the Anushilan Samiti, a revolutionary group in Bengal.","Promoted the idea of complete independence through revolutionary means.","Later became a spiritual leader and founded the concept of Integral Yoga.","Formation of the Anushilan Samiti, his spiritual retreat in Pondicherry.","'The future belongs to those who believe in the beauty of their dreams.'","Statues and schools named after him."
